de_1,"EU-weite Bürgerentscheide - Es sollen EU-weite verbindliche Bürgerentscheide eingeführt werden.","Should EU-wide referenda be implemented?"
de_2,"CO2-Ausstoß - Die EU soll sich höhere Ziele zur Reduzierung des CO2-Ausstoßes setzen.","Should the EU set higher goals for the reduction of carbon emissions?"
de_3,"Europäische Armee - Die EU-Mitgliedsstaaten sollen eine gemeinsame Armee aufbauen.","Should the EU member states build a joint army?"
de_4,"Landwirtschaftsförderung - Die Europäische Union soll vorrangig Bio-Landwirtschaft fördern.","Should the EU support mainly organic farming?"
de_5,"Nationale Währung - Deutschland soll an Stelle des Euro wieder eine nationale Währung einführen.","Should Germany revert from Euro to a national currency?"
de_6,"Seenotrettung im Mittelmeer - Die EU soll private Seenotrettungsinitiativen im Mittelmeer unterstützen.","Should the EU support private rescue initiatives in the Mediterranean sea?"
de_7,"Finanztransaktionssteuer - Auf den Handel mit Finanzprodukten (z.B. Aktien) soll eine Steuer erhoben werden.","Should the taxes on finance products (e.g. shares) be raised?"
de_8,"Gentechnisch veränderte Pflanzen - Der Anbau von gentechnisch veränderten Pflanzen soll in der EU erlaubt sein.","Should the cultivation of genetically modified plants be allowed in the EU?"
de_9,"Sozialleistungen in der EU - EU-Bürgerinnen und -Bürger, die in ein anderes EU-Land ziehen, sollen dort nur eingeschränkt Sozialleistungen erhalten.","Should EU citizens who move to another member state receive limited social services?"
de_10,"Stimmabgabe bei der Europawahl - EU-Bürgerinnen und -Bürger sollen bei der Europawahl ihre Stimme auch für Parteien aus anderen Mitgliedsstaaten abgeben dürfen.","Should EU citizens be allowed to vote for candidates of other member states in the election to the EU parliament?"
de_11,"Europäische Entwicklungshilfe - Die EU soll mehr Geld für die Entwicklungshilfe bereitstellen.","Should the EU provide more money for development aid?"
de_12,"Fluggastdaten - Die EU-Mitgliedsstaaten sollen weiterhin Daten von Fluggästen speichern müssen.","Should the EU member states continue storing data on flight passengers?"
de_13,"Mindestlohn - Die EU soll sich für die Einführung eines nationalen Mindestlohns in allen Mitgliedsstaaten einsetzen.","Should the EU support implementation of a minimum wage in each member state?"
de_14,"Flüchtlingsabkommen mit der Türkei - Die EU soll am Flüchtlingsabkommen mit der Türkei festhalten.","Should the EU hold on to the refugee agreement with Turkey?"
de_15,"Frauenquote - In der EU soll es für Aufsichtsräte von Unternehmen eine verbindliche Frauenquote geben.","Should there be a mandatory women's quota for supervisory boards of companies in the EU?"
de_16,"Austritt aus der EU - Deutschland soll aus der Europäischen Union austreten.","Should Germany leave the EU?"
de_17,"Atomkraftwerke - In anderen EU-Staaten sollen weiterhin Atomkraftwerke betrieben werden dürfen.","Should atomic power plants continue to be operated in other EU member states?"
de_18,"Zuwanderung von Fachkräften - Die Europäische Union soll Zuwanderung von Fachkräften aus Nicht-EU-Ländern fördern.","Should the EU support immigration of skilled employees from non-EU countries?"
de_19,"Presse- und Medienfreiheit - Die EU soll Mitgliedsstaaten finanziell bestrafen, die die Presse- und Medienfreiheit verletzen.","Should those EU member states that violate the press and media freedom be punished with financial sanctions?"
de_20,"Reduzierung der Regionalförderung - Die finanziellen Hilfen für wirtschaftlich schwächere Regionen in der EU sollen reduziert werden.","Should financial support for economically weaker regions of the EU be reduced?"
de_21,"Tierversuche - In der medizinischen Forschung sollen Tierversuche weiterhin erlaubt sein.","Should animal testing in medical research continue to be allowed?"
de_22,"Europol - Die europäische Polizeibehörde Europol soll weitere Kompetenzen erhalten.","Should the competences of the european police agency Europol be extended?"
de_23,"Mindestsatz für Besteuerung - Für die Besteuerung von Unternehmen soll es einen EU-weiten Mindestsatz geben.","Should there be a minimum rate for corporate tax in the EU?"
de_24,"Gleichgeschlechtliche Ehe - Die EU soll sich dafür einsetzen, dass alle Mitgliedsstaaten die gleichgeschlechtliche Ehe einführen.","Should the EU support implementation of same-sax marriage in all EU member states?"
de_25,"EU-Regeln zur Staatsverschuldung - Mitgliedsstaaten, die die EU-Regeln zur Begrenzung der Staatsverschuldung verletzen, sollen konsequent bestraft werden.","Should those EU member states that violate the EU rules for excess of the national debt be punished?"
de_26,"Lkw-Maut auf Fernstraßen - In allen Mitgliedsstaaten soll eine Lkw-Maut auf Fernstraßen eingeführt werden.","Should a highway toll for trucks be implemented in all EU member states?"
de_27,"Christliche Wertegemeinschaft - Die Europäische Union soll sich als christliche Wertegemeinschaft verstehen.","Should the EU consider itself a Christian community?"
de_28,"Verstaatlichung der Banken - Alle Banken sollen verstaatlicht werden.","Should all banks be nationalized?"
de_29,"Migration über das Mittelmeer - Alle Asylsuchenden, die versuchen über das Mittelmeer in die EU zu gelangen, sollen in ihre Heimatländer zurückgeführt werden.","Should all asylum seekers who attempt to arrive to the EU via the Mediterranean sea be brought back to their respective countries of origin?"
de_30,"Abbau der Russland-Sanktionen - Die EU soll ihre Sanktionen gegen Russland abbauen.","Should the EU lift its sanctions against Russia?"
de_31,"Steuer auf Plastikverpackungen - In allen EU-Mitgliedsstaaten sollen Plastikverpackungen besteuert werden.","Should plastic packaging be taxed in all EU member states?"
de_32,"Initiativen gegen Antisemitismus - In der EU sollen Initiativen gegen Antisemitismus finanziell unterstützt werden.","Should initiatives against antisemitism be financially supported in the EU?"
de_33,"Außenpolitische Entscheidungen - Bei außenpolitischen Entscheidungen der EU soll häufiger mit Mehrheit statt einstimmig entschieden werden können.","Should foreign policy decisions of the EU be more often decided by a majority vote rather than unanimously?"
de_34,"Verteilung von Asylsuchenden - Asylsuchende sollen in der EU proportional auf die Mitgliedsstaaten verteilt werden.","Should people seeking asylum in the EU be proportionally distributed among all EU member states?"
de_35,"Fischfangmenge - Die Fangmengen für die europäische Fischerei sollen stärker begrenzt werden.","Should the limits on the amount of catch of the European fishing industry be strengthened?"
de_36,"Grenzkontrollen innerhalb der EU - Es sollen wieder dauerhafte Grenzkontrollen zwischen den Mitgliedsstaaten der EU stattfinden.","Should there again be border controls between EU member states?"
de_37,"Europäischer Bundesstaat - Die EU soll sich langfristig zu einem europäischen Bundesstaat entwickeln.","Should the EU evolve into a federation in the long term?"
de_38,"Wählen ab 16 - Jugendliche sollen ab 16 Jahren bei der Europawahl wählen dürfen.","Should people over the age of 16 be allowed to vote in the European Parliament election?"
